Rule ID,Rule Name,Rule Description,Visa Type,Eligibility Criteria,Application Fee,Processing Time,Required Documents,Additional Notes
549,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,8 weeks,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
550,Visitor Visa,Allows family members of UK residents to join them in the UK.,Student,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
551,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£95,3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
552,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
553,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
554,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",8 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
555,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",8 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
556,Innovator Visa,Allows family members of UK residents to join them in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",8 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
557,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
558,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
559,Tier 4 Student,For international students pursuing a course in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
560,Innovator Visa,Allows family members of UK residents to join them in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,£95,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
561,Innovator Visa,Allows family members of UK residents to join them in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
562,Visitor Visa,Allows family members of UK residents to join them in the UK.,Family,"Family relationship proof, sufficient funds",£95,12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
563,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
564,Visitor Visa,For international students pursuing a course in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
565,Visitor Visa,Allows family members of UK residents to join them in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
566,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
567,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Family relationship proof, sufficient funds","£1,523",6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
568,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",12 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
569,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£348,8 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
570,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
571,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£95,12 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
572,Tier 2 Work Visa,For international students pursuing a course in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,523",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
573,Visitor Visa,For international students pursuing a course in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,12 weeks,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
574,Tier 4 Student,For international students pursuing a course in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
575,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Family relationship proof, sufficient funds",£610,12 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
576,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Family relationship proof, sufficient funds",£95,12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
577,Visitor Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
578,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
579,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds",£610,3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
580,Innovator Visa,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
581,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
582,Family Visa,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
583,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£348,6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
584,Family Visa,For international students pursuing a course in the UK.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
585,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£610,6 months,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
586,Tier 4 Student,For international students pursuing a course in the UK.,Family,"Family relationship proof, sufficient funds",£348,6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
587,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,£348,12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
588,Family Visa,Allows family members of UK residents to join them in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£95,12 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
589,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
590,Visitor Visa,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
591,Visitor Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
592,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£348,12 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
593,Family Visa,For international students pursuing a course in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
594,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
595,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
596,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
597,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,Must have sufficient funds for the duration of stay and intention to return,£348,8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
598,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",6 months,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
599,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Family relationship proof, sufficient funds","£1,021",12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
600,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£95,8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
601,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,Must have sufficient funds for the duration of stay and intention to return,"£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
602,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",8 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
603,Tier 2 Work Visa,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
604,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
605,Visitor Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£610,12 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
606,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",3 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
607,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
608,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
609,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
610,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£610,12 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
611,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£348,12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
612,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
613,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£610,12 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
614,Innovator Visa,For international students pursuing a course in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
615,Family Visa,For international students pursuing a course in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
616,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£348,6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
617,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Family relationship proof, sufficient funds",£610,6 months,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
618,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Business,"Family relationship proof, sufficient funds",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
619,Innovator Visa,For international students pursuing a course in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£95,12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
620,Family Visa,For international students pursuing a course in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
621,Family Visa,For international students pursuing a course in the UK.,Business,Must have sufficient funds for the duration of stay and intention to return,£95,8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
622,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,3 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
623,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Family relationship proof, sufficient funds",£95,3 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
624,Family Visa,Allows family members of UK residents to join them in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
625,Family Visa,For international students pursuing a course in the UK.,Visitor,"Family relationship proof, sufficient funds",£610,3 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
626,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
627,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
628,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
629,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Family relationship proof, sufficient funds",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
630,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
631,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£95,8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
632,Innovator Visa,Allows family members of UK residents to join them in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
633,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
634,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Business,"Family relationship proof, sufficient funds",£610,8 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
635,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
636,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Accepted by a UK institution, proof of funds, English proficiency",£348,12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
637,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
638,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£348,8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
639,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£348,12 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
640,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£610,6 months,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
641,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
642,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£610,12 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
643,Innovator Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
644,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Student,"Family relationship proof, sufficient funds","£1,523",6 months,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
645,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
646,Visitor Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
647,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
648,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
649,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Student,"Family relationship proof, sufficient funds","£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
650,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£348,12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
651,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Family,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
652,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£95,12 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
653,Innovator Visa,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
654,Innovator Visa,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds",£95,3 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
655,Visitor Visa,Allows family members of UK residents to join them in the UK.,Business,"Family relationship proof, sufficient funds","£1,523",12 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
656,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",8 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
657,Family Visa,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
658,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,Must have sufficient funds for the duration of stay and intention to return,£95,3 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
659,Visitor Visa,Allows family members of UK residents to join them in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
660,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
661,Innovator Visa,Allows family members of UK residents to join them in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£348,8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
662,Visitor Visa,For international students pursuing a course in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
663,Tier 2 Work Visa,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds",£348,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
664,Visitor Visa,For international students pursuing a course in the UK.,Visitor,"Family relationship proof, sufficient funds",£95,12 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
665,Family Visa,Allows family members of UK residents to join them in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,£348,6 months,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
666,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
667,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£610,3 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
668,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
669,Family Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
670,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
671,Tier 2 Work Visa,For international students pursuing a course in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£348,8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
672,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Family relationship proof, sufficient funds",£348,6 months,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
673,Visitor Visa,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",8 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
674,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Family relationship proof, sufficient funds","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
675,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
676,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
677,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
678,Visitor Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
679,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
680,Innovator Visa,Allows family members of UK residents to join them in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,£95,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
681,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
682,Innovator Visa,Allows family members of UK residents to join them in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
